STT,Trang thu thập,Tên công ty,Vị trí ứng tuyển,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Địa điểm,Ngày đăng tuyển,Lương tối thiểu,Lương tối đa,Lương TB,Tên công việc
0,CareerLink,CÔNG TY CỔ PHẦN KINH DOANH F88,Nhân viên,Cử nhân,2,hà nội,2024-12-26,15000000.0,25000000.0,20000000.0,kỹ sư dữ liệu
2,CareerLink,CÔNG TY CỔ PHẦN KINH DOANH F88,Nhân viên,Cử nhân,3,hà nội,2024-12-26,15000000.0,25000000.0,20000000.0,nhà khoa học dữ liệu
4,CareerLink,CÔNG TY CỔ PHẦN KINH DOANH F88,Nhân viên,Cử nhân,3,hà nội,2024-12-26,20000000.0,35000000.0,27500000.0,nhà phân tích dữ liệu
7,CareerLink,CÔNG TY TNHH QUICK VIỆT NAM,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-26,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
8,CareerLink,Công ty TNHH Điện Tử Sumida Việt Nam,Nhân viên,Cử nhân,1,hải phòng,2024-12-26,12000000.0,13000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
12,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-26,13000000.0,27000000.0,20000000.0,kỹ sư kiểm thử phần mềm
13,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,bạc liêu,2024-12-25,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
15,CareerLink,CÔNG TY CỔ PHẦN KINH DOANH F88,Nhân viên,Cử nhân,1,hà nội,2024-12-25,11000000.0,18000000.0,0.0,kỹ sư phần mềm
17,CareerLink,CÔNG TY CỔ PHẦN KINH DOANH F88,Nhân viên,Cử nhân,1,hà nội,2024-12-25,11000000.0,18000000.0,0.0,chuyên viên bảo mật thông tin
22,CareerLink,Công Ty Cổ Phần Funtap,Nhân viên,Cử nhân,0,hà nội,2024-12-25,10000000.0,16500000.0,,vận hành
26,CareerLink,CÔNG TY CỔ PHẦN SUN.STUDIO,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,14000000.0,25000000.0,19500000.0,nhà thiết kế
32,CareerLink,PILGRIMAGE VILLAGE HUẾ BOUTIQUE RESORT & SPA,Trưởng nhóm / Giám sát,Cử nhân,2,thừa thiên - huế,2024-12-25,10000000.0,15000000.0,12500000.0,công nghệ thông tin
33,CareerLink,FPT Telecom,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,15000000.0,18000000.0,16500000.0,nhà thiết kế
34,CareerLink,PILGRIMAGE VILLAGE HUẾ BOUTIQUE RESORT & SPA,Trưởng nhóm / Giám sát,Cử nhân,2,thừa thiên - huế,2024-12-25,10000000.0,15000000.0,12500000.0,công nghệ thông tin
38,CareerLink,Công Ty TNHH Khóa Huy Hoàng,Nhân viên,Cử nhân,1,hà nội,2024-12-24,15000000.0,18000000.0,16500000.0,kỹ sư hệ thống
39,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,15000000.0,20000000.0,17500000.0,công nghệ thông tin
40,CareerLink,CÔNG TY CỔ PHẦN CTS,Nhân viên,Trung cấp,1,hồ chí minh,2024-12-26,9000000.0,15000000.0,12000000.0,nhà thiết kế
44,CareerLink,Tổng Công Ty Cổ Phần Địa Ốc Sài Gòn – SAIGONRES Group,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,15000000.0,20000000.0,0.0,kỹ sư phần mềm
45,CareerLink,CÔNG TY TNHH DAEYEONG VINA,Nhân viên,Cử nhân,1,đồng nai,2024-12-25,15000000.0,15000000.0,,công nghệ thông tin
48,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Mới đi làm,Trung cấp,0,hưng yên,2024-12-24,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
49,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,quảng ngãi,2024-12-24,5000000.0,9000000.0,7000000.0,chuyên viên hỗ trợ kỹ thuật
50,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-24,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
52,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,kiên giang,2024-12-24,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
54,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,gia lai,2024-12-23,6000000.0,11000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
56,CareerLink,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀNG CHÂU Á,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,12000000.0,15000000.0,13500000.0,chuyên viên hỗ trợ kỹ thuật
65,CareerLink,CÔNG TY CỔ PHẦN TẬP ĐOÀN AUSTDOOR,Nhân viên,Cử nhân,2,hà nội,2024-12-23,20000000.0,30000000.0,25000000.0,chuyên viên tư vấn cntt
66,CareerLink,Công Ty Cổ Phần Funtap,Nhân viên,Cử nhân,1,hà nội,2024-12-23,13000000.0,20000000.0,16500000.0,kỹ sư phần mềm
78,CareerLink,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE,Kỹ thuật viên / Kỹ sư,kỹ sư,0,đăk nông,2024-12-20,6000000.0,6500000.0,6250000.0,kỹ sư mạng
79,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-20,25000000.0,35000000.0,30000000.0,nhà thiết kế
80,CareerLink,Công Ty TNHH Thương Mại Công Nghệ Anh Minh,Kỹ thuật viên / Kỹ sư,Cử nhân,1,hồ chí minh,2024-12-24,10000000.0,15000000.0,0.0,kỹ sư phần mềm
83,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-23,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
84,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,kiên giang,2024-12-20,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
86,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung cấp,0,quảng bình,2024-12-25,8000000.0,15000000.0,11500000.0,kỹ thuật viên
88,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,kiên giang,2024-12-21,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
90,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,kiên giang,2024-12-22,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
92,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung cấp,0,hà nội,2024-12-22,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
95,CareerLink,TRƯỜNG ĐẠI HỌC YERSIN ĐÀ LẠT,Nhân viên,thạc sĩ,1,lâm đồng,2024-12-20,7000000.0,15000000.0,,công nghệ thông tin
96,CareerLink,Công ty TNHH Sản xuất Toàn Cầu LIXIL Việt Nam,Nhân viên,Cử nhân,0,đồng nai,2024-12-23,10000000.0,15000000.0,0.0,công nghệ thông tin
98,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-20,10000000.0,15000000.0,12500000.0,kỹ sư phần mềm
100,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,1,hồ chí minh,2024-12-25,7000000.0,10000000.0,8500000.0,nhà phân tích dữ liệu
110,CareerLink,CÔNG TY CỔ PHẦN NÔNG NGHIỆP TRƯỜNG HẢI,Nhân viên,Cử nhân,2,gia lai,2024-12-19,10000000.0,15000000.0,0.0,công nghệ thông tin
115,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,ninh thuận,2024-12-25,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
116,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,tiền giang,2024-12-18,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
118,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,gia lai,2024-12-18,5000000.0,9000000.0,7000000.0,chuyên viên hỗ trợ kỹ thuật
122,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,đồng tháp,2024-12-18,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
123,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,quảng nam,2024-12-24,6000000.0,11000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
124,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,bắc giang,2024-12-17,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
126,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,bắc giang,2024-12-17,7000000.0,12000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
127,CareerLink,Công Ty Bánh Đồng Tiến Đà Nẵng,Nhân viên,Cử nhân,2,đà nẵng,2024-12-20,10000000.0,12000000.0,11000000.0,kỹ sư phần mềm
130,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-17,19000000.0,25000000.0,22000000.0,kỹ sư phần mềm
131,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,0,hồ chí minh,2024-12-24,7000000.0,10000000.0,8500000.0,kỹ sư phần mềm
132,CareerLink,CÔNG TY TNHH QUICK VIỆT NAM,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-19,25000000.0,35000000.0,30000000.0,kỹ sư phần mềm
133,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,bắc giang,2024-12-16,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
135,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-19,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
140,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,1,hà nội,2024-12-24,9000000.0,14000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
144,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,gia lai,2024-12-14,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
146,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,quảng ngãi,2024-12-14,6000000.0,9000000.0,7500000.0,chuyên viên hỗ trợ kỹ thuật
148,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,lâm đồng,2024-12-13,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
149,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hậu giang,2024-12-23,7000000.0,12000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
150,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hậu giang,2024-12-17,7000000.0,12000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
154,CareerLink,Công Ty Cổ Phần Tập Đoàn Omi (OmiGroup),Kỹ thuật viên / Kỹ sư,Cử nhân,2,nhật bản,2024-12-13,86000000.0,210000000.0,0.0,kỹ sư hệ thống
157,CareerLink,Công Ty Cổ Phần Tập Đoàn Omi (OmiGroup),Nhân viên,Cử nhân,2,nhật bản,2024-12-13,10000000.0,15000000.0,0.0,chuyên viên tư vấn cntt
159,CareerLink,Công Ty Cổ Phần Tập Đoàn Omi (OmiGroup),Nhân viên,Cử nhân,2,hà nội nhật bản,2024-12-13,10000000.0,15000000.0,0.0,chuyên viên tư vấn cntt
161,CareerLink,CareerLink's Client,Trưởng nhóm / Giám sát,Trung cấp,3,hồ chí minh,2024-12-12,25000000.0,50000000.0,37500000.0,kỹ sư phần mềm
168,CareerLink,Innovature Consulting Ltd.,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-23,15000000.0,20000000.0,0.0,kỹ sư hệ thống
169,CareerLink,Công Ty Cổ Phần Hanacans,Kỹ thuật viên / Kỹ sư,Cử nhân,2,bắc ninh,2024-12-19,12000000.0,20000000.0,16000000.0,công nghệ thông tin
173,CareerLink,MyTeam VietNam Company Limited,Kỹ thuật viên / Kỹ sư,Cử nhân,2,đà nẵng,2024-12-13,25000000.0,50000000.0,37500000.0,kỹ sư phần mềm
175,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hải phòng,2024-12-17,15000000.0,20000000.0,17500000.0,kỹ sư phần mềm
177,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,1,hà nội,2024-12-17,12000000.0,25000000.0,18500000.0,kỹ sư hệ thống
181,CareerLink,Công ty TNHH transcosmos Vietnam,Nhân viên,Cử nhân,0,hà nội,2024-12-10,10000000.0,15000000.0,12500000.0,kỹ sư phần mềm
182,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,quảng ngãi,2024-12-12,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
183,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,lâm đồng,2024-12-10,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
185,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-19,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
187,CareerLink,CareerLink's Client,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hồ chí minh,2024-12-13,20000000.0,22000000.0,21000000.0,kỹ sư phần mềm
189,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-13,18000000.0,30000000.0,24000000.0,kỹ sư phần mềm
190,CareerLink,CÔNG TY TNHH RORZE ROBOTECH,Nhân viên,Cử nhân,0,hải phòng,2024-12-25,8000000.0,12000000.0,0.0,kỹ sư phần mềm
191,CareerLink,CareerLink's Client,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hồ chí minh,2024-12-13,17000000.0,25000000.0,21000000.0,kỹ sư phần mềm
192,CareerLink,CÔNG TY TNHH RORZE ROBOTECH,Nhân viên,Cử nhân,1,hải phòng,2024-12-18,8000000.0,12000000.0,0.0,kỹ sư phần mềm
193,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-24,22000000.0,40000000.0,31000000.0,kỹ sư phần mềm
195,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,18000000.0,30000000.0,24000000.0,kỹ sư phần mềm
